Afghanistan,ASIA(EX.NEAREAST)
Albania,EASTERNEUROPE
Algeria,NORTHERNAFRICA
AmericanSamoa,OCEANIA
Andorra,WESTERNEUROPE
Angola,SUB-SAHARANAFRICA
Anguilla,LATINAMER.&CARIB
Antigua&Barbuda,LATINAMER.&CARIB
Argentina,LATINAMER.&CARIB
Armenia,C.W.OFIND.STATES
Aruba,LATINAMER.&CARIB
Australia,OCEANIA
Austria,WESTERNEUROPE
Azerbaijan,C.W.OFIND.STATES
"Bahamas,The"
Bahrain,NEAREAST
Bangladesh,ASIA(EX.NEAREAST)
Barbados,LATINAMER.&CARIB
Belarus,C.W.OFIND.STATES
Belgium,WESTERNEUROPE
Belize,LATINAMER.&CARIB
Benin,SUB-SAHARANAFRICA
Bermuda,NORTHERNAMERICA
Bhutan,ASIA(EX.NEAREAST)
Bolivia,LATINAMER.&CARIB
Bosnia&Herzegovina,EASTERNEUROPE
Botswana,SUB-SAHARANAFRICA
Brazil,LATINAMER.&CARIB
BritishVirginIs.,LATINAMER.&CARIB
Brunei,ASIA(EX.NEAREAST)
Bulgaria,EASTERNEUROPE
BurkinaFaso,SUB-SAHARANAFRICA
Burma,ASIA(EX.NEAREAST)
Burundi,SUB-SAHARANAFRICA
Cambodia,ASIA(EX.NEAREAST)
Cameroon,SUB-SAHARANAFRICA
Canada,NORTHERNAMERICA
CapeVerde,SUB-SAHARANAFRICA
CaymanIslands,LATINAMER.&CARIB
CentralAfricanRep.,SUB-SAHARANAFRICA
Chad,SUB-SAHARANAFRICA
Chile,LATINAMER.&CARIB
China,ASIA(EX.NEAREAST)
Colombia,LATINAMER.&CARIB
Comoros,SUB-SAHARANAFRICA
"Congo,Dem.Rep."
"Congo,Repub.ofthe"
CookIslands,OCEANIA
CostaRica,LATINAMER.&CARIB
Coted'Ivoire,SUB-SAHARANAFRICA
Croatia,EASTERNEUROPE
Cuba,LATINAMER.&CARIB
Cyprus,NEAREAST
CzechRepublic,EASTERNEUROPE
Denmark,WESTERNEUROPE
Djibouti,SUB-SAHARANAFRICA
Dominica,LATINAMER.&CARIB
DominicanRepublic,LATINAMER.&CARIB
EastTimor,ASIA(EX.NEAREAST)
Ecuador,LATINAMER.&CARIB
Egypt,NORTHERNAFRICA
ElSalvador,LATINAMER.&CARIB
EquatorialGuinea,SUB-SAHARANAFRICA
Eritrea,SUB-SAHARANAFRICA
Estonia,BALTICS
Ethiopia,SUB-SAHARANAFRICA
FaroeIslands,WESTERNEUROPE
Fiji,OCEANIA
Finland,WESTERNEUROPE
France,WESTERNEUROPE
FrenchGuiana,LATINAMER.&CARIB
FrenchPolynesia,OCEANIA
Gabon,SUB-SAHARANAFRICA
"Gambia,The"
GazaStrip,NEAREAST
Georgia,C.W.OFIND.STATES
Germany,WESTERNEUROPE
Ghana,SUB-SAHARANAFRICA
Gibraltar,WESTERNEUROPE
Greece,WESTERNEUROPE
Greenland,NORTHERNAMERICA
Grenada,LATINAMER.&CARIB
Guadeloupe,LATINAMER.&CARIB
Guam,OCEANIA
Guatemala,LATINAMER.&CARIB
Guernsey,WESTERNEUROPE
Guinea,SUB-SAHARANAFRICA
Guinea-Bissau,SUB-SAHARANAFRICA
Guyana,LATINAMER.&CARIB
Haiti,LATINAMER.&CARIB
Honduras,LATINAMER.&CARIB
HongKong,ASIA(EX.NEAREAST)
Hungary,EASTERNEUROPE
Iceland,WESTERNEUROPE
India,ASIA(EX.NEAREAST)
Indonesia,ASIA(EX.NEAREAST)
Iran,ASIA(EX.NEAREAST)
Iraq,NEAREAST
Ireland,WESTERNEUROPE
IsleofMan,WESTERNEUROPE
Israel,NEAREAST
Italy,WESTERNEUROPE
Jamaica,LATINAMER.&CARIB
Japan,ASIA(EX.NEAREAST)
Jersey,WESTERNEUROPE
Jordan,NEAREAST
Kazakhstan,C.W.OFIND.STATES
Kenya,SUB-SAHARANAFRICA
Kiribati,OCEANIA
"Korea,North"
"Korea,South"
Kuwait,NEAREAST
Kyrgyzstan,C.W.OFIND.STATES
Laos,ASIA(EX.NEAREAST)
Latvia,BALTICS
Lebanon,NEAREAST
Lesotho,SUB-SAHARANAFRICA
Liberia,SUB-SAHARANAFRICA
Libya,NORTHERNAFRICA
Liechtenstein,WESTERNEUROPE
Lithuania,BALTICS
Luxembourg,WESTERNEUROPE
Macau,ASIA(EX.NEAREAST)
Macedonia,EASTERNEUROPE
Madagascar,SUB-SAHARANAFRICA
Malawi,SUB-SAHARANAFRICA
Malaysia,ASIA(EX.NEAREAST)
Maldives,ASIA(EX.NEAREAST)
Mali,SUB-SAHARANAFRICA
Malta,WESTERNEUROPE
MarshallIslands,OCEANIA
Martinique,LATINAMER.&CARIB
Mauritania,SUB-SAHARANAFRICA
Mauritius,SUB-SAHARANAFRICA
Mayotte,SUB-SAHARANAFRICA
Mexico,LATINAMER.&CARIB
"Micronesia,Fed.St."
Moldova,C.W.OFIND.STATES
Monaco,WESTERNEUROPE
Mongolia,ASIA(EX.NEAREAST)
Montserrat,LATINAMER.&CARIB
Morocco,NORTHERNAFRICA
Mozambique,SUB-SAHARANAFRICA
Namibia,SUB-SAHARANAFRICA
Nauru,OCEANIA
Nepal,ASIA(EX.NEAREAST)
Netherlands,WESTERNEUROPE
NetherlandsAntilles,LATINAMER.&CARIB
NewCaledonia,OCEANIA
NewZealand,OCEANIA
Nicaragua,LATINAMER.&CARIB
Niger,SUB-SAHARANAFRICA
Nigeria,SUB-SAHARANAFRICA
N.MarianaIslands,OCEANIA
Norway,WESTERNEUROPE
Oman,NEAREAST
Pakistan,ASIA(EX.NEAREAST)
Palau,OCEANIA
Panama,LATINAMER.&CARIB
PapuaNewGuinea,OCEANIA
Paraguay,LATINAMER.&CARIB
Peru,LATINAMER.&CARIB
Philippines,ASIA(EX.NEAREAST)
Poland,EASTERNEUROPE
Portugal,WESTERNEUROPE
PuertoRico,LATINAMER.&CARIB
Qatar,NEAREAST
Reunion,SUB-SAHARANAFRICA
Romania,EASTERNEUROPE
Russia,C.W.OFIND.STATES
Rwanda,SUB-SAHARANAFRICA
SaintHelena,SUB-SAHARANAFRICA
SaintKitts&Nevis,LATINAMER.&CARIB
SaintLucia,LATINAMER.&CARIB
StPierre&Miquelon,NORTHERNAMERICA
SaintVincentandtheGrenadines,LATINAMER.&CARIB
Samoa,OCEANIA
SanMarino,WESTERNEUROPE
SaoTome&Principe,SUB-SAHARANAFRICA
SaudiArabia,NEAREAST
Senegal,SUB-SAHARANAFRICA
Serbia,EASTERNEUROPE
Seychelles,SUB-SAHARANAFRICA
SierraLeone,SUB-SAHARANAFRICA
Singapore,ASIA(EX.NEAREAST)
Slovakia,EASTERNEUROPE
Slovenia,EASTERNEUROPE
SolomonIslands,OCEANIA
Somalia,SUB-SAHARANAFRICA
SouthAfrica,SUB-SAHARANAFRICA
Spain,WESTERNEUROPE
SriLanka,ASIA(EX.NEAREAST)
Sudan,SUB-SAHARANAFRICA
Suriname,LATINAMER.&CARIB
Swaziland,SUB-SAHARANAFRICA
Sweden,WESTERNEUROPE
Switzerland,WESTERNEUROPE
Syria,NEAREAST
Taiwan,ASIA(EX.NEAREAST)
Tajikistan,C.W.OFIND.STATES
Tanzania,SUB-SAHARANAFRICA
Thailand,ASIA(EX.NEAREAST)
Togo,SUB-SAHARANAFRICA
Tonga,OCEANIA
Trinidad&Tobago,LATINAMER.&CARIB
Tunisia,NORTHERNAFRICA
Turkey,NEAREAST
Turkmenistan,C.W.OFIND.STATES
Turks&CaicosIs,LATINAMER.&CARIB
Tuvalu,OCEANIA
Uganda,SUB-SAHARANAFRICA
Ukraine,C.W.OFIND.STATES
UnitedArabEmirates,NEAREAST
UnitedKingdom,WESTERNEUROPE
UnitedStates,NORTHERNAMERICA
Uruguay,LATINAMER.&CARIB
Uzbekistan,C.W.OFIND.STATES
Vanuatu,OCEANIA
Venezuela,LATINAMER.&CARIB
Vietnam,ASIA(EX.NEAREAST)
VirginIslands,LATINAMER.&CARIB
WallisandFutuna,OCEANIA
WestBank,NEAREAST
WesternSahara,NORTHERNAFRICA
Yemen,NEAREAST
Zambia,SUB-SAHARANAFRICA
Zimbabwe,SUB-SAHARANAFRICA
