"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2025","6,796.5","6,803.0","6,807.0","6,787.0","3.55K","-0.12%"
"02/20/2025","6,804.5","6,892.0","6,892.0","6,792.0","23.49K","-1.71%"
"02/19/2025","6,923.0","6,922.0","6,923.0","6,885.0","19.58K","0.19%"
"02/18/2025","6,910.0","6,933.0","6,948.0","6,900.0","23.76K","-0.27%"
"02/17/2025","6,929.0","6,935.0","6,939.0","6,925.0","10.02K","0.37%"
"02/14/2025","6,903.5","6,926.0","6,926.0","6,883.0","18.32K","0.01%"
"02/13/2025","6,902.5","6,918.0","6,920.0","6,900.0","2.56K","0.20%"
"02/12/2025","6,888.5","6,905.0","6,911.0","6,861.0","8.52K","-0.20%"
"02/11/2025","6,902.0","6,942.0","6,942.0","6,896.0","8.56K","-0.25%"
"02/10/2025","6,919.0","6,902.0","6,937.0","6,902.0","10.32K","0.46%"
"02/07/2025","6,887.5","6,902.0","6,918.0","6,886.0","10.45K","-0.02%"
"02/06/2025","6,889.0","6,831.0","6,905.0","6,831.0","29.04K","1.74%"
"02/05/2025","6,771.0","6,711.0","6,769.0","6,711.0","5.34K","0.45%"
"02/04/2025","6,741.0","6,710.0","6,741.0","6,706.0","6.58K","0.54%"
"02/03/2025","6,704.5","6,692.0","6,705.0","6,660.0","51.47K","-1.65%"
"01/31/2025","6,817.0","6,789.0","6,828.0","6,789.0","15.58K","1.08%"
"01/30/2025","6,744.0","6,727.0","6,762.0","6,727.0","14.76K","0.97%"
"01/29/2025","6,679.0","6,698.0","6,706.0","6,677.0","38.44K","0.69%"
"01/28/2025","6,633.0","6,637.0","6,644.0","6,597.0","17.44K","0.91%"
"01/27/2025","6,573.0","6,670.0","6,682.0","6,555.0","28.12K","-2.91%"
"01/24/2025","6,770.0","6,803.1","6,803.1","6,767.0","21.57K","-0.49%"
"01/23/2025","6,803.5","6,809.0","6,814.8","6,785.9","4.77K","0.13%"
"01/22/2025","6,794.5","6,791.1","6,798.5","6,772.9","39.65K","0.99%"
"01/21/2025","6,728.0","6,717.0","6,747.0","6,711.8","5.08K","0.16%"
"01/20/2025","6,717.0","6,733.8","6,757.0","6,710.0","18.27K","-0.28%"
"01/17/2025","6,736.0","6,692.6","6,735.4","6,681.6","12.56K","1.10%"
"01/16/2025","6,662.5","6,673.0","6,690.4","6,645.6","20.55K","0.70%"
"01/15/2025","6,616.5","6,531.0","6,618.5","6,527.0","14.22K","1.54%"
"01/14/2025","6,516.0","6,523.6","6,561.0","6,506.0","12.45K","0.43%"
"01/13/2025","6,488.0","6,514.4","6,525.0","6,483.8","2.93K","-0.29%"
