order_id,product_id,quantity
1,14490,4
1,28697,5
2,24995,1
2,6036,4
3,6258,2
4,14012,2
4,23255,3
5,16558,1
5,2171,4
6,5092,4
6,7515,2
7,8706,3
8,17724,5
9,20695,3
10,24368,4
10,19999,2
11,13492,1
11,14065,5
11,11167,2
12,10821,3
12,15825,3
13,23490,2
13,14936,4
14,26381,3
14,18875,5
15,3183,2
16,9286,3
17,2013,1
17,19565,1
17,1867,1
18,9203,5
19,17096,1
19,4942,2
20,19509,5
20,26468,1
20,896,1
21,572,1
21,4566,1
21,10887,1
22,15912,5
22,20323,1
23,21016,4
23,11552,5
23,20529,3
24,400,4
24,19135,3
25,24634,2
26,3772,4
26,23644,3
27,20612,2
27,22385,2
27,28922,2
28,14026,1
29,22290,5
30,25978,1
31,15280,3
31,19644,1
32,5473,2
32,17518,1
33,2980,5
33,7164,5
34,2010,3
34,11791,1
34,12530,1
35,8400,1
35,28414,4
36,6543,2
36,27943,4
37,20622,5
37,19895,2
38,28598,2
39,6920,3
39,9631,2
40,13873,5
40,18611,5
41,22234,2
42,26412,3
43,5291,1
44,29295,2
45,29476,1
45,15641,1
45,1087,1
46,23462,5
47,20070,3
47,11817,2
47,2467,3
48,22087,2
49,8171,1
49,6123,5
50,2288,3
51,24329,1
51,16000,3
52,3936,1
53,19925,4
53,16218,3
54,8605,1
55,23645,2
55,6394,1
55,17123,1
56,5759,1
56,23010,5
57,8421,1
57,9513,1
58,20941,1
59,12859,1
59,28262,4
59,659,2
60,3221,1
60,289,2
60,29583,5
61,27172,3
61,7417,2
62,11410,4
62,15662,3
63,24838,4
63,2475,5
64,9460,3
64,27392,5
64,237,3
65,23272,1
65,4800,3
66,26617,1
66,28818,3
67,25342,1
67,8247,4
68,16469,1
68,23745,2
68,24441,2
69,22596,1
70,2140,2
71,23908,3
71,24513,4
72,17299,2
73,28058,2
73,387,1
74,29096,1
74,23806,1
75,14097,5
75,11182,1
76,4422,5
77,908,1
78,14880,1
78,9967,5
79,14947,3
79,10264,4
79,7764,4
80,29765,2
80,26151,5
80,8114,3
81,28455,3
81,4942,5
82,7003,3
82,1904,2
82,26172,1
83,17812,1
83,8922,4
84,22238,5
85,1906,3
85,22264,5
85,25493,1
86,25766,2
86,25386,4
86,12704,4
87,3439,2
88,15942,2
89,25408,2
89,28687,5
89,17192,2
90,23445,1
90,2246,4
91,28448,3
91,21257,1
92,2681,5
92,8696,2
93,19136,1
93,25815,5
93,5260,4
94,14129,3
94,27522,5
95,12919,4
95,20989,1
96,21684,3
96,23009,1
97,7678,2
97,8288,1
98,23316,1
98,18015,1
99,8757,5
100,15819,1
100,10683,4
101,1507,1
101,19004,2
101,12602,1
102,7741,1
103,18070,3
103,29005,2
104,25808,3
105,22024,2
106,1416,1
106,16211,1
107,9406,2
107,7101,1
108,21684,5
109,27667,3
109,21523,3
110,19285,3
111,14017,5
112,13260,3
112,10483,3
113,570,2
113,18687,1
113,1765,3
114,2070,3
114,11674,3
114,1919,2
115,14159,5
115,29941,2
116,22439,4
117,17295,3
118,29592,2
118,14078,2
118,12470,3
119,3368,5
119,21240,3
119,15598,4
120,10078,2
120,27668,2
121,16215,3
121,27766,3
122,19443,3
122,15632,4
123,29355,2
124,3478,1
124,22466,3
124,13311,1
125,23727,4
125,26119,1
126,18373,1
126,16057,2
126,4792,5
127,11584,4
127,4952,5
127,14308,3
128,1513,2
128,27539,4
128,20896,5
129,6097,5
129,17681,3
129,27872,3
130,7515,4
131,20156,4
131,2708,5
132,7646,1
133,15438,2
133,29398,5
133,5775,4
134,13190,3
134,11767,5
134,24412,2
135,29258,2
135,16291,5
136,19208,2
136,14344,4
137,26893,2
137,21272,2
138,13114,5
138,26699,4
138,10116,4
139,4067,4
140,5545,4
140,7269,5
140,29585,2
141,22817,4
141,23998,4
142,18038,4
142,28069,1
143,13798,4
143,23917,1
144,29270,2
144,10821,4
145,21818,4
145,23261,4
146,23686,2
147,9662,4
147,1672,2
147,27437,4
148,20836,4
149,6689,1
149,23526,5
149,27275,5
150,11796,3
150,7290,1
150,29279,2
151,18788,5
151,6124,3
152,11731,2
152,6774,5
152,25188,4
153,23092,1
153,23337,4
153,20008,3
154,12629,3
155,2542,2
155,2345,3
156,22236,5
156,9863,2
157,15412,2
157,19113,2
157,7128,3
158,29316,4
158,13260,2
159,24015,3
159,16637,3
159,18999,2
160,25857,5
160,8730,2
160,10704,2
161,17718,5
161,28595,4
161,29018,2
162,18608,3
162,29412,2
162,3343,1
163,313,2
163,28806,3
163,20731,3
164,29072,4
164,3629,2
164,25054,1
165,1148,3
166,17312,2
167,10046,2
167,22237,4
168,1774,1
169,20548,4
170,3261,5
170,12655,4
171,25874,3
172,6507,4
173,20556,1
173,29658,2
174,16941,3
174,17543,3
174,13791,5
175,1749,1
175,14004,3
175,29376,3
176,20318,4
177,22920,2
177,27972,2
178,29982,1
178,27256,4
178,8809,2
179,8885,3
180,26064,5
180,17111,4
181,16648,4
182,28443,1
182,17739,2
182,27336,1
183,20679,1
183,4663,4
184,20268,2
184,6463,3
185,24792,2
185,7877,1
185,3365,3
186,3398,3
186,7256,1
186,29000,2
187,12265,1
187,3084,5
188,21933,5
189,14101,2
190,14120,1
191,9413,3
192,17099,5
193,25638,1
193,4634,3
194,1181,1
194,6383,3
194,3270,2
195,19082,3
195,19842,5
196,19094,1
196,14134,1
197,25372,1
197,26944,1
198,4610,5
199,11358,1
200,384,5
200,29057,2
201,25632,5
201,14203,5
201,17961,3
202,2856,1
203,24272,4
203,22108,5
203,11435,3
204,1866,4
204,17501,1
204,6450,3
205,12100,2
206,26579,3
206,27758,3
206,23938,3
207,19119,5
207,26433,1
207,14742,1
208,6357,3
208,11747,3
209,3991,2
209,1847,3
210,6484,2
210,23759,1
211,24977,2
212,8943,1
212,453,4
213,10982,5
213,24170,1
214,18401,4
214,14209,2
214,27984,3
215,22708,5
215,16098,4
216,3387,2
216,16356,5
216,4685,5
217,12896,5
218,20148,5
218,2042,3
219,19332,1
219,2051,4
219,8810,3
220,995,4
220,11392,4
220,9581,2
221,6567,3
221,19622,3
221,23083,5
222,20810,2
222,5483,1
222,4982,3
223,19675,4
223,1134,3
224,11273,5
225,25334,3
226,5010,1
226,12218,2
227,1747,4
227,16999,2
228,20623,2
228,23761,4
229,21559,5
229,7913,3
230,893,1
230,480,2
231,9597,4
231,991,3
232,3427,3
232,22056,5
233,15346,3
233,16922,1
233,11019,1
234,17807,1
234,7684,4
234,19176,2
235,21727,3
235,1961,4
236,11895,5
237,17525,5
238,6051,3
238,9338,5
239,14910,5
240,18106,2
240,8192,1
240,8403,1
241,25253,5
241,4791,4
241,6839,5
242,6956,2
242,3319,1
243,10496,5
243,24055,3
243,3488,4
244,15422,4
244,28621,2
245,16805,3
246,21157,4
246,26264,3
247,1127,3
247,18193,3
248,876,1
249,15216,2
249,22588,2
249,2947,1
250,20049,5
250,17805,2
251,4180,1
252,28770,3
252,15697,2
253,24935,3
253,24852,5
254,17656,4
255,1730,3
255,26066,3
256,14086,3
256,23290,4
256,20320,5
257,1542,4
257,19133,5
258,16807,4
258,6865,4
259,15242,3
259,14415,3
260,4925,3
260,18619,4
260,8100,3
261,2630,5
262,12354,5
263,11556,2
264,26372,2
264,19296,3
264,10879,3
265,17213,3
265,11505,3
266,10307,5
267,4738,5
267,19343,1
268,15234,2
268,11992,1
268,16477,3
269,12472,2
269,6013,4
269,26689,3
270,17577,5
270,24465,5
271,13821,3
271,3589,3
271,17620,3
272,27933,5
273,5353,5
273,5093,4
273,8976,4
274,27310,1
274,9796,3
275,7118,3
275,25214,2
276,20983,4
276,12760,2
276,20836,4
277,19598,1
278,27934,1
278,12788,5
279,17295,5
279,24730,5
279,8833,3
280,2940,5
280,23832,5
280,3456,4
281,27324,4
282,6408,2
283,17472,2
283,24049,3
284,4759,4
284,20550,2
285,13178,5
286,21620,4
287,25829,5
287,1967,3
288,14242,3
288,278,5
288,19001,3
289,14557,1
289,24948,2
289,11028,4
290,15445,3
291,13264,1
291,16057,2
291,14537,1
292,14579,3
293,872,1
293,26960,1
293,22897,2
294,20932,3
294,18679,1
294,17054,2
295,795,4
295,19024,2
296,7987,5
296,10054,2
296,17102,5
297,27000,1
297,28703,1
297,21174,3
298,16568,5
299,2235,2
300,8030,5
300,14481,3
301,6365,5
301,21765,1
301,26643,3
302,3095,5
302,6461,1
303,18007,3
303,25386,1
303,18131,2
304,1822,2
304,23553,3
304,15558,3
305,25832,1
305,64,4
305,14001,3
306,29180,1
306,24125,1
306,29117,1
307,7520,5
307,2229,5
307,5278,4
308,12713,5
309,12231,5
309,28293,1
310,1172,4
310,13634,2
311,9415,1
312,22537,4
313,20253,5
313,6683,3
314,24214,5
314,108,5
315,11646,1
315,22692,4
316,2659,4
316,28707,1
317,17600,3
318,22415,4
319,21096,1
319,23334,1
320,21911,1
320,9812,2
320,2315,3
321,4903,3
321,25296,1
321,21318,2
322,2732,1
322,29908,1
322,1959,4
323,27504,2
324,26527,4
325,25740,4
325,1897,2
325,11652,3
326,25424,1
326,8499,4
326,5186,3
327,14200,1
328,26354,5
328,23409,5
329,11042,2
329,7634,5
330,16977,5
330,11400,4
330,7042,4
331,6215,4
332,12591,4
332,9024,4
333,4612,1
333,25236,5
333,20275,1
334,28244,1
334,12815,4
335,7867,1
336,14125,2
336,1679,1
336,13302,1
337,11566,3
338,16256,2
338,29676,2
338,1345,3
339,10704,1
339,17400,4
340,26609,5
340,13191,5
341,23977,2
342,10732,2
343,24983,5
343,9359,1
344,22024,4
