id,name,cost_net,vat,cost_gross,category
1,Bindownica,2003.46,8,2163.74,B
2,Telewizor,1144.24,5,1201.45,H
3,Torba,75.66,5,79.44,E
4,Podkładka,2653.38,8,2865.65,D
5,Hub USB,416.74,23,512.59,G
6,Pralka,4507.47,12,5048.37,E
7,Tuner,3951.41,8,4267.52,D
8,Soundbar,3513.14,5,3688.8,D
9,Płyta główna,4339.85,12,4860.63,D
10,Wzmacniacz sygnału,2203.85,12,2468.31,B
11,Mysz,487.9,23,600.12,B
12,Adapter,4200.7,5,4410.73,D
13,Modem,4841.92,5,5084.02,F
14,Zmywarka,2925.31,5,3071.58,H
15,Odkurzacz,826.51,5,867.84,F
16,Kabel,220.82,23,271.61,A
17,Modem,3512.53,8,3793.53,F
18,Odkurzacz,1746.61,8,1886.34,F
19,Karta pamięci,811.73,12,909.14,C
20,Robot kuchenny,2828.6,23,3479.18,D
21,Kabel,1703.73,8,1840.03,E
22,Ładowarka,2114.18,23,2600.44,E
23,Tuner,3733.19,12,4181.17,E
24,Torba,2045.24,12,2290.67,F
25,Słuchawki,2839.63,12,3180.39,B
26,Kolumny,4544.03,12,5089.31,C
27,Słuchawki,4954.44,12,5548.97,G
28,Adapter,4413.36,23,5428.43,B
29,Robot kuchenny,3377.58,8,3647.79,F
30,Karta pamięci,1387.68,8,1498.69,E
31,Hub USB,4802.54,23,5907.12,H
32,Konwerter,116.13,12,130.07,G
33,Mysz,695.89,5,730.68,H
34,Konsola,4224.06,5,4435.26,D
35,Laptop,4285.69,12,4799.97,G
36,Smartwatch,4937.37,8,5332.36,G
37,Bindownica,822.74,12,921.47,H
38,Pendrive,1436.07,23,1766.37,F
39,Stacja dokująca,1691.36,8,1826.67,E
40,Klawiatura,4345.12,23,5344.5,F
41,Pendrive,2758.35,23,3392.77,G
42,Wzmacniacz sygnału,3948.52,8,4264.4,D
43,Słuchawki,3978.71,23,4893.81,G
44,Głośnik,2434.14,5,2555.85,B
45,Lampa,983.41,5,1032.58,F
46,Powerbank,1507.31,23,1853.99,G
47,Nawigacja,4359.49,12,4882.63,H
48,Mikser,299.5,23,368.38,E
49,Equalizer,4261.61,8,4602.54,H
50,Lampa,2708.41,12,3033.42,G
51,Kabel,3375.13,5,3543.89,C
52,Etui,174.05,12,194.94,H
53,Uchwyt,2139.41,12,2396.14,B
54,Kabel,4427.72,5,4649.11,C
55,Zasilacz,2590.63,5,2720.16,E
56,SSD,4242.49,23,5218.26,C
57,Kino domowe,1919.84,23,2361.4,E
58,Subwoofer,1129.44,8,1219.8,B
59,Powerbank,2606.6,12,2919.39,A
60,Webcam,3977.97,23,4892.9,G
61,Statyw,734.17,12,822.27,B
62,Kalkulator,146.47,5,153.79,G
63,Tablet,1077.15,8,1163.32,G
64,Gramofon,3001.84,23,3692.26,H
65,Amplituner,2614.65,12,2928.41,G
66,SSD,1353.25,12,1515.64,G
67,Gramofon,3695.44,12,4138.89,F
68,Dysk external,4240.77,23,5216.15,B
69,Pendrive,3538.07,23,4351.83,C
70,Mysz,4349.31,23,5349.65,B
71,Filtr,451.17,8,487.26,F
72,Hub USB,615.05,8,664.25,H
73,Smartwatch,372.23,5,390.84,F
74,Podstawka,1505.22,12,1685.85,E
75,Procesor,3281.96,23,4036.81,E
76,Zasilacz,3953.0,12,4427.36,E
77,Czajnik,4135.04,8,4465.84,B
78,SSD,1362.64,8,1471.65,B
79,Procesor,431.23,23,530.41,F
80,Konwerter,1053.32,12,1179.72,F
81,Konwerter,3700.01,8,3996.01,H
82,Torba,2629.32,23,3234.06,D
83,Router,4448.48,5,4670.9,E
84,Mysz,1208.8,12,1353.86,B
85,Niszczarka,3651.25,23,4491.04,F
86,Kamera,2482.25,5,2606.36,F
87,Tablet,4594.94,5,4824.69,E
88,Projektor,2678.24,8,2892.5,B
89,Mysz,198.97,5,208.92,A
90,Stacja dokująca,3193.59,8,3449.08,F
91,Toster,3475.35,5,3649.12,H
92,Skaner,3086.73,5,3241.07,C
93,Kontroler,1652.13,12,1850.39,B
94,Pamięć RAM,4235.57,12,4743.84,D
95,Telewizor,2959.41,12,3314.54,E
96,Klawiatura,4605.05,12,5157.66,D
97,Chłodzenie,3881.78,5,4075.87,C
98,Robot kuchenny,2019.86,23,2484.43,F
99,Lampa biurkowa,2842.71,5,2984.85,F
100,Płyta główna,1840.63,12,2061.51,E
101,Odkurzacz,2688.85,12,3011.51,A
102,Zasilacz,4807.18,12,5384.04,G
103,Mysz,4526.29,12,5069.44,C
104,Wzmacniacz,767.93,5,806.33,H
105,Obudowa,4459.44,12,4994.57,C
106,Powerbank,3760.39,12,4211.64,E
107,Odtwarzacz,889.91,5,934.41,G
108,Etui,2547.96,23,3133.99,G
109,Amplituner,2762.48,12,3093.98,A
110,Subwoofer,2128.69,8,2298.99,F
111,Aparat,4628.9,8,4999.21,F
112,Słuchawki,3748.7,12,4198.54,F
113,Pendrive,3156.35,23,3882.31,G
114,Soundbar,1144.45,5,1201.67,H
115,Podstawka,1868.76,23,2298.57,F
116,Telewizor,2374.42,5,2493.14,C
117,Chłodzenie,344.94,23,424.28,B
118,Karta pamięci,4825.51,12,5404.57,F
119,Etui,2055.33,23,2528.06,F
120,Statyw,3646.51,12,4084.09,H
121,Kabel,130.39,5,136.91,D
122,Klawiatura,1389.24,5,1458.7,E
123,Antena,2925.26,23,3598.07,A
124,Powerbank,2075.35,12,2324.39,B
125,Słuchawki,4727.18,8,5105.35,G
126,Dysk,4399.37,5,4619.34,A
127,Lampa biurkowa,4638.07,5,4869.97,E
128,Obiektyw,2891.51,23,3556.56,B
129,Smartwatch,2209.4,12,2474.53,F
130,Konwerter,1269.66,12,1422.02,H
131,Obiektyw,3253.49,8,3513.77,A
132,Zmywarka,4668.46,5,4901.88,E
133,Drukarka,3484.93,23,4286.46,D
134,Smartwatch,2637.71,23,3244.38,B
135,Tablet,4534.97,23,5578.01,E
